,SERCA.g_SERCA,CaRU.J_L,Na_Ca_Exchanger.g_NCX,Ca_independent_transient_outward_K_current.g_t,steady_state_outward_K_current.g_ss,sodium_potassium_pump.i_NaK_max
1000,0.00033721099830952603,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
950,0.0003401851888175392,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
900,0.0003434898449375538,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
850,0.0003471832841305113,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
800,0.0003513384032225885,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
750,0.0003560475381936093,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
700,0.0003614294067319188,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
650,0.00036763925504535285,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
600,0.0003748840780776925,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
550,0.00038344614166136673,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
500,0.00039372061796177574,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
450,0.0004062783112178313,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
400,0.0004219754277879006,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
350,0.00044215743480656124,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
300,0.0004690667774981087,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
250,0.0005067398572662752,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
200,0.0005632494769185249,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
190,0.0005781204294585907,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
180,0.0005946437100586637,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
170,0.0006131109060234512,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
160,0.000633886501483837,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
150,0.0006574321763389411,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
140,0.0006843415190304886,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
130,0.0007153907605976589,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
120,0.0007516148757593572,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
110,0.0007944251936777282,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
100,0.0008457975751797736,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
90,0.0009085860414600509,0.0008238033806186053,0.06877658499823545,1.8505983422085634e-05,8.66673665939789e-06,0.002492412274233558
