1C,1L,2C,2L,3C,3L,4C,4L
-83.72018035345255,-83.6664703646078,-83.52428404133677,-83.62021111415326,-82.68583581987193,-82.79911774859642,-82.94092870504196,-82.88064742735081
0.002581111277686297,0.0026024720427240355,0.0026598745101720617,0.002621010908878394,0.0030249810545500146,0.002972873869344371,0.0029089034158411215,0.0029359266533910914
0.7782208331112797,0.7766598266625342,0.7726052379150893,0.7753036677390225,0.7474300571388823,0.7509298296784335,0.7552871484106531,0.7534418079243366
0.7781706376287109,0.7764767073214066,0.7725725415217907,0.774946066846708,0.7473808903562296,0.750819935655302,0.7552766515869254,0.7533925568343929
0.001654141085977437,0.0016619262264961074,0.0016827124705767775,0.0016686607281267472,0.0018106721956478741,0.0017928318868562134,0.0017707457082040807,0.0017801007591549186
0.9962445268678928,0.9962128705488409,0.9961369028193061,0.9961846107034363,0.9956386974033415,0.9957087982028543,0.9957972117451916,0.9957598889750341
0.9142967359229516,0.7426084703618289,0.9068594472361415,0.5177855465584075,0.9165611546375,0.8090832877042226,0.9185102756606593,0.8409849794110124
0.002215638630484275,0.002225720057910859,0.0022525796386912915,0.0022344416707711506,0.0024177684356469164,0.002394765056803549,0.0023662681279517915,0.002378339865145871
0.3902589538873498,0.36820559469426617,0.38296550550713115,0.3126477292631172,0.36261906459911186,0.347284858311359,0.37162672966427823,0.3614907612748838
0.005039349463627621,0.004698300806215038,0.004918571287171967,0.003717205712243104,0.00453160407783503,0.004357195097781392,0.004687458768342504,0.004520042299165566
0.9898511748145555,0.9907140681174417,0.9899990481348234,0.9900892725155933,0.9902310373571793,0.9907793994517946,0.990295832372283,0.9909628689739196
0.008573897603892641,0.008411345480825224,0.00853836335659285,0.008440169743949807,0.00845957446933374,0.008384177607052911,0.008424688272360353,0.008343331567613133
0.0015614959082206714,0.000867245976522836,0.001450163343948165,0.001458161609355409,0.0012983811725165394,0.0008294359365806222,0.001268776912652827,0.0006880350962700876
7.596142716572106,8.18033008954227,8.514634742557783,9.686614699657252,12.422819874878535,12.844760295809014,9.866261963041053,10.147729608183804
0.0001288995356723742,8.888884083006885e-05,0.00012133808417092442,9.819459450277966e-05,0.00010286406031455104,8.04904544034803e-05,9.363478643037613e-05,6.563786088241175e-05
143.44910753110804,143.06455701442349,141.7786107889527,140.7459732862866,137.79549847504754,137.5686150506071,140.26437498988864,140.25101523868585
1.9343084926062841,0.7416510573466681,1.809515670339363,0.9718297188327103,2.291244100240261,1.1106678960366254,2.839939893206139,1.2151719901507938
0.06198564867886906,0.06425987686269875,0.06240293960615751,0.06369126546251921,0.06346832501984395,0.06478248485685337,0.06400590687323422,0.06568679947448533
