,SERCA.g_SERCA,CaRU.J_L,Na_Ca_Exchanger.g_NCX,Ca_independent_transient_outward_K_current.g_t,steady_state_outward_K_current.g_ss,sodium_potassium_pump.i_NaK_max
1000,0.0007282873600576597,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
950,0.0007318202695722069,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
900,0.0007357457245883706,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
850,0.0007401329978417299,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
800,0.0007450686802517594,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
750,0.0007506624536497926,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
700,0.0007570553375332591,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
650,0.0007644317420141822,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
600,0.0007730375472419256,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
550,0.0007832080443292587,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
500,0.0007954126408340584,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
450,0.0008103293698954804,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
400,0.0008289752812222579,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
350,0.0008529485957852574,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
300,0.00088491301520259,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
250,0.0009296632023868559,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
200,0.0009967884831632548,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
190,0.0010144530307359912,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
180,0.0010340803058168093,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
170,0.0010560166720836065,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
160,0.0010806950841337531,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
150,0.0011086639511239192,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
140,0.0011406283705412518,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
130,0.0011775103929458667,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
120,0.0012205394190845837,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
110,0.0012713919045212495,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
100,0.0013324148870452485,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
90,0.001406998532352358,0.0006061479275977869,0.079272365690727,3.78428135397262e-05,7.494379103997013e-06,0.0014424098004272882
